Source.Name,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
TCS_Data.csv,24-07-2018,EQ,2015,2015,1984.15,2005.65,1996.45,1999,1998.52,3674.8,1711.15,2038423,4073820958,96571,TCS
TCS_Data.csv,23-07-2018,EQ,2001,2009.95,1986,1996.6,2001.1,2005.65,2005.83,3674.8,1711.15,2086201,4184572277,88812,TCS
TCS_Data.csv,20-07-2018,EQ,1984.9,2000,1984,1981.4,1998.1,1996.6,1993.61,3674.8,1711.15,1934995,3857631216,97910,TCS
TCS_Data.csv,19-07-2018,EQ,2002.1,2010.45,1970,2000.25,1986,1981.4,1984.27,3674.8,1711.15,1746318,3465172736,81270,TCS
TCS_Data.csv,18-07-2018,EQ,2005,2011.7,1993.05,2002.15,2000,2000.25,2000.88,3674.8,1711.15,2013869,4029511536,93022,TCS
TCS_Data.csv,17-07-2018,EQ,1989,2009,1981,1989.2,2000,2002.15,1994.6,3674.8,1711.15,3315492,6613072315,105130,TCS
TCS_Data.csv,16-07-2018,EQ,1990,1996,1977.45,1981.1,1988.85,1989.2,1988.74,3674.8,1711.15,2582159,5135235031,112338,TCS
TCS_Data.csv,13-07-2018,EQ,1975,1997.9,1974,1971.35,1977.6,1981.1,1986.23,3674.8,1711.15,4148185,8239240068,146909,TCS
TCS_Data.csv,12-07-2018,EQ,1984,1990.9,1960.5,1979.9,1973,1971.35,1972.52,3674.8,1711.15,6921701,13653172984,204057,TCS
TCS_Data.csv,11-07-2018,EQ,1900,1998,1894.15,1875.1,1970,1979.9,1951.99,3674.8,1711.15,22903802,44708105351,482657,TCS
TCS_Data.csv,10-07-2018,EQ,1898,1898.9,1870.75,1883,1876.05,1875.1,1881.79,3674.8,1711.15,5303302,9979704601,187687,TCS
TCS_Data.csv,09-07-2018,EQ,1924,1924.4,1876.5,1912.95,1884.2,1883,1888.15,3674.8,1711.15,6151747,11615411507,193730,TCS
TCS_Data.csv,06-07-2018,EQ,1882.85,1921,1881.65,1880.3,1917.75,1912.95,1907.65,3674.8,1711.15,3713781,7084608224,143673,TCS
TCS_Data.csv,05-07-2018,EQ,1873,1887.5,1862.1,1866.15,1883.8,1880.3,1874.33,3674.8,1711.15,2472571,4634408416,94620,TCS
TCS_Data.csv,04-07-2018,EQ,1879.9,1879.9,1857.15,1874.05,1867,1866.15,1863.61,3674.8,1711.15,2700614,5032886447,116958,TCS
TCS_Data.csv,03-07-2018,EQ,1859.95,1879.9,1857.05,1851.35,1874.25,1874.05,1872.16,3674.8,1711.15,3242233,6069985148,191297,TCS
TCS_Data.csv,02-07-2018,EQ,1852,1857.8,1841.1,1847.75,1854.05,1851.35,1852,3674.8,1711.15,2650290,4908342580,137325,TCS
TCS_Data.csv,29-06-2018,EQ,1844.9,1867.4,1842.3,1842.7,1844.95,1847.75,1851.25,3674.8,1711.15,3506276,6490978438,213525,TCS
TCS_Data.csv,28-06-2018,EQ,1865,1871,1826.3,1858,1844.1,1842.7,1846.23,3674.8,1711.15,4888125,9024622355,176902,TCS
TCS_Data.csv,27-06-2018,EQ,1860,1885.15,1851.25,1852,1857.5,1858,1870.51,3674.8,1711.15,4081208,7633922938,163411,TCS
TCS_Data.csv,26-06-2018,EQ,1823,1861,1821,1819.25,1852.05,1852,1842.52,3674.8,1711.15,4679712,8622455575,160270,TCS
TCS_Data.csv,25-06-2018,EQ,1811.9,1822.35,1806,1809.8,1817.75,1819.25,1817.52,3674.8,1711.15,2083217,3786278981,115086,TCS
TCS_Data.csv,22-06-2018,EQ,1827,1827,1799.55,1819.35,1809,1809.8,1810.38,3674.8,1711.15,2949458,5339626533,225703,TCS
TCS_Data.csv,21-06-2018,EQ,1832,1832,1817.6,1822.45,1820,1819.35,1822.83,3674.8,1711.15,2910659,5305644226,130989,TCS
TCS_Data.csv,20-06-2018,EQ,1832,1836.3,1818.6,1824.5,1820,1822.45,1828.68,3674.8,1711.15,3107695,5682968754,151059,TCS
TCS_Data.csv,19-06-2018,EQ,1822.15,1839,1821,1829,1822.9,1824.5,1829.83,3674.8,1711.15,3245034,5937862115,139033,TCS
TCS_Data.csv,18-06-2018,EQ,1867.95,1867.95,1822.15,1840.05,1824,1829,1840.85,3674.8,1711.15,4674987,8605956300,212032,TCS
TCS_Data.csv,15-06-2018,EQ,1800,1847.1,1788.6,1787.55,1840,1840.05,1823.42,3674.8,1711.15,9183574,16745544383,232555,TCS
TCS_Data.csv,14-06-2018,EQ,1830,1832.3,1784,1824.1,1784.95,1787.55,1795.49,3674.8,1711.15,3819998,6858771088,185231,TCS
TCS_Data.csv,13-06-2018,EQ,1816,1831.65,1798,1781,1824,1824.1,1818.17,3674.8,1711.15,5370983,9765380712,236378,TCS
TCS_Data.csv,12-06-2018,EQ,1757,1785,1753,1749.7,1781.05,1781,1773.52,3674.8,1711.15,4608875,8173948345,108707,TCS
TCS_Data.csv,11-06-2018,EQ,1747.1,1763,1743,1747.1,1750.9,1749.7,1752.55,3674.8,1711.15,2179378,3819463189,104681,TCS
TCS_Data.csv,08-06-2018,EQ,1735,1757.3,1735,1735.55,1742.95,1747.1,1748.59,3674.8,1711.15,2582138,4515097489,90908,TCS
TCS_Data.csv,07-06-2018,EQ,1725,1749,1723.8,1725.75,1734.05,1735.55,1738,3674.8,1711.15,2414762,4196845765,105531,TCS
TCS_Data.csv,06-06-2018,EQ,1723,1734.9,1715.2,1721.6,1725,1725.75,1725.85,3674.8,1711.15,2236512,3859874684,73770,TCS
TCS_Data.csv,05-06-2018,EQ,1744,1751.9,1711.15,1744.25,1723,1721.6,1728.88,3674.8,1711.15,2449568,4235000688,133067,TCS
TCS_Data.csv,04-06-2018,EQ,1745,1749,1712.6,1732.45,1742,1744.25,1730.25,3674.8,1712.6,1681483,2909393690,96686,TCS
TCS_Data.csv,01-06-2018,EQ,1754,1757.5,1716.3,1741.05,1732,1732.45,1742.29,3674.8,1716.3,1603856,2794386298,74272,TCS
TCS_Data.csv,31-05-2018,EQ,1734,1759.05,1726.1,3514.1,1748.85,1741.05,1742.44,3674.8,1726.1,5049371,8798250474,207998,TCS
TCS_Data.csv,30-05-2018,EQ,3509.05,3533,3482.5,3523.5,3507.5,3514.1,3508.9,3674.8,2323.1,1889553,6630243747,125085,TCS
TCS_Data.csv,29-05-2018,EQ,3529.9,3544,3488,3502.05,3519.95,3523.5,3517.42,3674.8,2323.1,1762656,6200008340,101072,TCS
TCS_Data.csv,28-05-2018,EQ,3616.5,3616.5,3486,3585.8,3499.35,3502.05,3516.38,3674.8,2323.1,1858399,6534828350,142950,TCS
TCS_Data.csv,25-05-2018,EQ,3625,3674.8,3572.55,3603.7,3589.9,3585.8,3633.11,3674.8,2323.1,1884886,6848001305,142355,TCS
TCS_Data.csv,24-05-2018,EQ,3510,3615,3502.35,3495.1,3610.75,3603.7,3579.69,3615,2323.1,1481158,5302086674,78667,TCS
TCS_Data.csv,23-05-2018,EQ,3525,3545,3481,3508.9,3498.95,3495.1,3513.84,3592,2323.1,753649,2648198400,65699,TCS
TCS_Data.csv,22-05-2018,EQ,3558,3574.95,3493.7,3556.75,3514.4,3508.9,3520.43,3592,2323.1,928708,3269452704,71360,TCS
TCS_Data.csv,21-05-2018,EQ,3528.7,3592,3518.05,3502.05,3551.8,3556.75,3567.15,3592,2323.1,1723089,6146517740,113610,TCS
TCS_Data.csv,18-05-2018,EQ,3480.8,3517.7,3458,3491.8,3495,3502.05,3487.86,3560,2323.1,937498,3269860707,71488,TCS
TCS_Data.csv,17-05-2018,EQ,3512.95,3533.15,3476,3493.9,3480.8,3491.8,3509.69,3560,2323.1,1484024,5208463595,147144,TCS
TCS_Data.csv,16-05-2018,EQ,3479.95,3509,3475.25,3482.4,3497,3493.9,3494.21,3560,2323.1,824225,2880012135,62359,TCS
TCS_Data.csv,15-05-2018,EQ,3450,3495.8,3433.7,3433.55,3487,3482.4,3477.97,3560,2323.1,976445,3396047379,72769,TCS
TCS_Data.csv,14-05-2018,EQ,3457,3471,3410.8,3456.95,3440,3433.55,3427.81,3560,2323.1,1216947,4171459981,67155,TCS
TCS_Data.csv,11-05-2018,EQ,3454.2,3485,3442.5,3451.25,3461,3456.95,3461.07,3560,2316,1313938,4547636850,44332,TCS
TCS_Data.csv,10-05-2018,EQ,3502.95,3511.15,3440.2,3489.3,3446.3,3451.25,3478.59,3560,2316,1929339,6711381186,78782,TCS
TCS_Data.csv,09-05-2018,EQ,3440.2,3494.75,3440.2,3441.2,3488.5,3489.3,3480.95,3560,2316,1307525,4551423048,74986,TCS
TCS_Data.csv,08-05-2018,EQ,3434.7,3486.5,3396.7,3420.95,3440.2,3441.2,3447.8,3560,2316,1496410,5159322100,75803,TCS
TCS_Data.csv,07-05-2018,EQ,3490,3490,3410.9,3480.75,3428,3420.95,3438.41,3560,2316,1742213,5990435303,95521,TCS
TCS_Data.csv,04-05-2018,EQ,3492,3497,3470,3481.85,3479,3480.75,3485.14,3560,2268.5,1173622,4090241756,60186,TCS
TCS_Data.csv,03-05-2018,EQ,3509.8,3526,3470.4,3499.75,3481.75,3481.85,3501.58,3560,2268.5,1880775,6585681501,132523,TCS
TCS_Data.csv,02-05-2018,EQ,3530.5,3532.2,3471.3,3532.1,3500,3499.75,3496.99,3560,2268.5,1579023,5521825658,142452,TCS
TCS_Data.csv,30-04-2018,EQ,3451.95,3549,3437.6,3451.95,3529,3532.1,3523.56,3560,2268.5,1729279,6093220317,109746,TCS
